Journal Data Filtered By:  Selected JCR Year: 2020 Selected Editions: SCIE Selected Category Scheme: WoS,,,,
Rank,Full Journal Title,JCR Abbreviated Title,Journal Impact Factor,Article Influence Score
89,LANCET INFECTIOUS DISEASES,LANCET INFECT DIS,25.071,10.233
90,NATURE NEUROSCIENCE,NAT NEUROSCI,24.884,12.910
91,Cell Stem Cell,CELL STEM CELL,24.633,10.839
92,Lancet Digital Health,LANCET DIGIT HEALTH,24.519,10.786
93,Nature Chemistry,NAT CHEM,24.427,9.516
94,Annual Review of Psychology,ANNU REV PSYCHOL,24.137,13.464
95,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,J AM COLL CARDIOL,24.093,8.984
96,Trends in Chemistry,TRENDS CHEM,24.081,7.333
97,Science Robotics,SCI ROBOT,23.956,7.664
98,Annual Review of Biochemistry,ANNU REV BIOCHEM,23.643,12.333
99,BLOOD,BLOOD,23.629,6.438
100,Annual Review of Pathology-Mechanisms of Disease,ANNU REV PATHOL-MECH,23.472,7.884
101,ACS Energy Letters,ACS ENERGY LETT,23.101,5.614
102,GUT,GUT,23.059,7.319
103,Chem,CHEM-US,22.804,6.701
104,GASTROENTEROLOGY,GASTROENTEROLOGY,22.682,8.233
105,ACCOUNTS OF CHEMICAL RESEARCH,ACCOUNTS CHEM RES,22.384,6.254
106,COORDINATION CHEMISTRY REVIEWS,COORDIN CHEM REV,22.315,3.532
107,REVIEWS OF GEOPHYSICS,REV GEOPHYS,22.000,9.457
108,Annual Review of Public Health,ANNU REV PUBL HEALTH,21.981,9.804
109,JAMA Internal Medicine,JAMA INTERN MED,21.873,11.210
110,Lancet Public Health,LANCET PUBLIC HEALTH,21.648,10.205
111,JAMA Psychiatry,JAMA PSYCHIAT,21.596,9.172
112,Alzheimers & Dementia,ALZHEIMERS DEMENT,21.566,6.736
113,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,AM J RESP CRIT CARE,21.405,7.245
114,PROGRESS IN RETINAL AND EYE RESEARCH,PROG RETIN EYE RES,21.198,5.935
115,Cell Host & Microbe,CELL HOST MICROBE,21.023,9.164
116,TRENDS IN CELL BIOLOGY,TRENDS CELL BIOL,20.808,7.939
117,Nano Today,NANO TODAY,20.722,4.467
118,Nature Reviews Rheumatology,NAT REV RHEUMATOL,20.543,6.741
119,FUNGAL DIVERSITY,FUNGAL DIVERS,20.372,3.883
120,TRENDS IN COGNITIVE SCIENCES,TRENDS COGN SCI,20.229,10.036
121,CATALYSIS REVIEWS-SCIENCE AND ENGINEERING,CATAL REV,20.217,2.733
122,Advances in Optics and Photonics,ADV OPT PHOTONICS,20.107,7.027
123,EUROPEAN UROLOGY,EUR UROL,20.096,6.274
124,Nature Physics,NAT PHYS,20.034,10.066
125,ENDOCRINE REVIEWS,ENDOCR REV,19.871,7.267
126,Annual Review of Entomology,ANNU REV ENTOMOL,19.686,5.622
127,INTERNATIONAL MATERIALS REVIEWS,INT MATER REV,19.559,4.869
128,TRENDS IN BIOTECHNOLOGY,TRENDS BIOTECHNOL,19.536,4.442
129,APPLIED CATALYSIS B-ENVIRONMENTAL,APPL CATAL B-ENVIRON,19.503,2.657
130,Nature Sustainability,NAT SUSTAIN,19.346,6.330
131,Annual Review of Physiology,ANNU REV PHYSIOL,19.318,8.057
132,Lancet Planetary Health,LANCET PLANET HEALTH,19.173,8.169
133,Applied Physics Reviews,APPL PHYS REV,19.162,4.867
134,DIABETES CARE,DIABETES CARE,19.112,5.580
135,ANNALS OF THE RHEUMATIC DISEASES,ANN RHEUM DIS,19.103,4.818
136,Lancet Haematology,LANCET HAEMATOL,18.959,6.065
137,ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,18.808,3.829
138,Annual Review of Clinical Psychology,ANNU REV CLIN PSYCHO,18.561,8.876
139,Annual Review of Fluid Mechanics,ANNU REV FLUID MECH,18.511,7.696
140,DRUG RESISTANCE UPDATES,DRUG RESIST UPDATE,18.500,3.930
141,Lancet Gastroenterology & Hepatology,LANCET GASTROENTEROL,18.486,7.523
142,TRENDS IN PLANT SCIENCE,TRENDS PLANT SCI,18.313,5.294
143,JAMA Neurology,JAMA NEUROL,18.302,6.214
144,Signal Transduction and Targeted Therapy,SIGNAL TRANSDUCT TAR,18.187,4.285
145,AMERICAN JOURNAL OF PSYCHIATRY,AM J PSYCHIAT,18.112,6.779
146,Science Translational Medicine,SCI TRANSL MED,17.992,8.503
147,MOLECULAR CELL,MOL CELL,17.970,9.637
148,Nano Energy,NANO ENERGY,17.881,3.320
149,Energy Storage Materials,ENERGY STORAGE MATER,17.789,3.409
150,Light-Science & Applications,LIGHT-SCI APPL,17.782,4.984
151,Nature Microbiology,NAT MICROBIOL,17.745,8.065
152,PSYCHOLOGICAL BULLETIN,PSYCHOL BULL,17.737,11.392
153,Science Immunology,SCI IMMUNOL,17.727,8.643
154,TRENDS IN ECOLOGY & EVOLUTION,TRENDS ECOL EVOL,17.712,7.350
155,PSYCHOTHERAPY AND PSYCHOSOMATICS,PSYCHOTHER PSYCHOSOM,17.659,5.677
156,MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,MMWR-MORBID MORTAL W,17.586,6.157
157,INTENSIVE CARE MEDICINE,INTENS CARE MED,17.440,6.941
158,HEPATOLOGY,HEPATOLOGY,17.425,5.127
159,Living Reviews in Solar Physics,LIVING REV SOL PHYS,17.417,9.623
160,Journal of Hematology & Oncology,J HEMATOL ONCOL,17.388,2.706
161,CIRCULATION RESEARCH,CIRC RES,17.367,6.260
162,National Science Review,NATL SCI REV,17.275,5.052
163,REPORTS ON PROGRESS IN PHYSICS,REP PROG PHYS,17.264,7.314
164,NEURON,NEURON,17.173,9.336
165,BASIC RESEARCH IN CARDIOLOGY,BASIC RES CARDIOL,17.165,1.818
166,ACTA NEUROPATHOLOGICA,ACTA NEUROPATHOL,17.088,6.586
167,TRENDS IN MICROBIOLOGY,TRENDS MICROBIOL,17.079,5.831
168,NUCLEIC ACIDS RESEARCH,NUCLEIC ACIDS RES,16.971,5.788
169,Nature Geoscience,NAT GEOSCI,16.908,7.547
170,Annual Review of Genetics,ANNU REV GENET,16.830,7.146
171,Advanced Science,ADV SCI,16.806,3.815
172,TRENDS IN IMMUNOLOGY,TRENDS IMMUNOL,16.687,6.664
173,EUROPEAN RESPIRATORY JOURNAL,EUR RESPIR J,16.671,4.961
174,Nano-Micro Letters,NANO-MICRO LETT,16.419,2.359
175,FEMS MICROBIOLOGY REVIEWS,FEMS MICROBIOL REV,16.408,5.483
176,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,IEEE T PATTERN ANAL,16.389,6.096
177,Annual Review of Materials Research,ANNU REV MATER RES,16.286,5.979
178,PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,PROG PART NUCL PHYS,16.281,5.204
179,MOLECULAR BIOLOGY AND EVOLUTION,MOL BIOL EVOL,16.240,6.388
180,JAMA Pediatrics,JAMA PEDIATR,16.193,6.943
181,Annual Review of Condensed Matter Physics,ANNU REV CONDEN MA P,16.109,8.935
182,STUDIES IN MYCOLOGY,STUD MYCOL,16.097,4.405
183,Autophagy,AUTOPHAGY,16.016,3.864
184,MOLECULAR PSYCHIATRY,MOL PSYCHIATR,15.992,4.999
185,ACS Nano,ACS NANO,15.881,3.681
186,CELL DEATH AND DIFFERENTIATION,CELL DEATH DIFFER,15.828,3.192
187,Nature Plants,NAT PLANTS,15.793,6.059
188,Physical Review X,PHYS REV X,15.762,6.591
189,SEMINARS IN CANCER BIOLOGY,SEMIN CANCER BIOL,15.707,2.962
190,SYSTEMATIC BIOLOGY,SYST BIOL,15.683,5.025
191,HUMAN REPRODUCTION UPDATE,HUM REPROD UPDATE,15.610,5.307
192,Journal of Thoracic Oncology,J THORAC ONCOL,15.609,4.195
193,Matter,MATTER-US,15.589,4.039
194,EUROPEAN JOURNAL OF HEART FAILURE,EUR J HEART FAIL,15.534,4.002
195,Nature Machine Intelligence,NAT MACH INTELL,15.508,5.289
196,Annual Review of Microbiology,ANNU REV MICROBIOL,15.500,6.104
197,ADVANCED DRUG DELIVERY REVIEWS,ADV DRUG DELIVER REV,15.470,3.560
198,Nature Ecology & Evolution,NAT ECOL EVOL,15.460,6.603
199,Journal of the American Chemical Society,J AM CHEM SOC,15.419,4.090
200,NATURE STRUCTURAL & MOLECULAR BIOLOGY,NAT STRUCT MOL BIOL,15.369,7.824
201,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,ANGEW CHEM INT EDIT,15.336,3.422
202,PROGRESS IN LIPID RESEARCH,PROG LIPID RES,15.136,3.320
203,Energy & Environmental Materials,ENERGY ENVIRON MATER,15.122,2.638
204,Nature Chemical Biology,NAT CHEM BIOL,15.040,6.305
205,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,RENEW SUST ENERG REV,14.982,2.572
206,Nature Communications,NAT COMMUN,14.919,5.565
207,Protein & Cell,PROTEIN CELL,14.870,3.268
208,TRENDS IN PHARMACOLOGICAL SCIENCES,TRENDS PHARMACOL SCI,14.819,4.010
209,JOURNAL OF CLINICAL INVESTIGATION,J CLIN INVEST,14.808,6.027
210,JACC-Cardiovascular Imaging,JACC-CARDIOVASC IMAG,14.805,5.482
211,JAMA Surgery,JAMA SURG,14.766,5.901
212,JAMA Cardiology,JAMA CARDIOL,14.676,7.420
213,Microbiome,MICROBIOME,14.652,4.455
214,Bioactive Materials,BIOACT MATER,14.593,2.044
215,ACS Central Science,ACS CENTRAL SCI,14.553,4.815
216,Nature Astronomy,NAT ASTRON,14.437,5.755
217,Nature Reviews Urology,NAT REV UROL,14.432,3.473
218,JOURNAL OF EXPERIMENTAL MEDICINE,J EXP MED,14.307,6.405
219,MOLECULAR ASPECTS OF MEDICINE,MOL ASPECTS MED,14.235,2.952
220,BIOTECHNOLOGY ADVANCES,BIOTECHNOL ADV,14.227,3.068
221,Trends in Cancer,TRENDS CANCER,14.226,4.889
222,Annual Review of Nuclear and Particle Science,ANNU REV NUCL PART S,14.219,3.974
223,Molecular Neurodegeneration,MOL NEURODEGENER,14.195,3.377
224,Small Methods,SMALL METHODS,14.188,3.152
225,Science Advances,SCI ADV,14.143,5.839
226,Annual Review of Ecology Evolution and Systematics,ANNU REV ECOL EVOL S,13.915,6.964
227,Annual Review of Marine Science,ANNU REV MAR SCI,13.850,6.721
228,TRENDS IN NEUROSCIENCES,TRENDS NEUROSCI,13.837,6.039
229,Annual Review of Cell and Developmental Biology,ANNU REV CELL DEV BI,13.827,7.760
230,Annual Review of Pharmacology and Toxicology,ANNU REV PHARMACOL,13.820,4.275
231,TRENDS IN BIOCHEMICAL SCIENCES,TRENDS BIOCHEM SCI,13.807,7.100
232,BRITISH JOURNAL OF SPORTS MEDICINE,BRIT J SPORT MED,13.800,4.212
233,Journal for ImmunoTherapy of Cancer,J IMMUNOTHER CANCER,13.751,4.049
234,Annual Review of Medicine,ANNU REV MED,13.739,5.672
235,Nature Human Behaviour,NAT HUM BEHAV,13.663,7.767
236,Annual Review of Food Science and Technology,ANNU REV FOOD SCI T,13.635,2.663
237,GENOME BIOLOGY,GENOME BIOL,13.583,9.020
238,Bone Research,BONE RES,13.567,2.949
239,Nature Metabolism,NAT METAB,13.511,5.399
240,JNCI-Journal of the National Cancer Institute,JNCI-J NATL CANCER I,13.506,5.256
241,BRAIN,BRAIN,13.501,4.950
242,Nature Protocols,NAT PROTOC,13.491,7.626
243,Journal of King Saud University-Computer and Information Sciences,J KING SAUD UNIV-COM,13.473,0.985
244,IEEE Transactions on Systems Man Cybernetics-Systems,IEEE T SYST MAN CY-S,13.451,2.659
245,NATURAL PRODUCT REPORTS,NAT PROD REP,13.423,3.506
246,BIOLOGICAL PSYCHIATRY,BIOL PSYCHIAT,13.382,4.859
247,Polymer Reviews,POLYM REV,13.282,1.887
248,Small,SMALL,13.281,2.481
249,CHEMICAL ENGINEERING JOURNAL,CHEM ENG J,13.273,1.663
250,Materials Horizons,MATER HORIZ,13.266,3.168
251,Molecular Plant,MOL PLANT,13.164,4.839
252,ALLERGY,ALLERGY,13.146,2.310
253,Laser & Photonics Reviews,LASER PHOTONICS REV,13.138,3.088
254,ACS Catalysis,ACS CATAL,13.084,3.121
255,Annual Review of Phytopathology,ANNU REV PHYTOPATHOL,13.078,4.919
256,Advances in Nano Research,ADV NANO RES,13.052,0.845
257,JOURNAL OF PINEAL RESEARCH,J PINEAL RES,13.007,2.105
258,IMMUNOLOGICAL REVIEWS,IMMUNOL REV,12.988,4.935
259,ADVANCES IN COLLOID AND INTERFACE SCIENCE,ADV COLLOID INTERFAC,12.984,2.099
260,Annual Review of Biophysics,ANNU REV BIOPHYS,12.981,6.764
261,Information Fusion,INFORM FUSION,12.975,2.661
262,ANNALS OF SURGERY,ANN SURG,12.969,3.937
263,MEDICINAL RESEARCH REVIEWS,MED RES REV,12.944,2.353
264,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,J PHOTOCH PHOTOBIO C,12.927,2.748
265,Journal of Cachexia Sarcopenia and Muscle,J CACHEXIA SARCOPENI,12.910,2.650
266,BIOLOGICAL REVIEWS,BIOL REV,12.820,4.367
267,COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,COMPR REV FOOD SCI F,12.811,2.502
268,Annual Review of Earth and Planetary Sciences,ANNU REV EARTH PL SC,12.810,6.879
269,Lancet HIV,LANCET HIV,12.767,7.729
270,npj Flexible Electronics,NPJ FLEX ELECTRON,12.740,2.820
271,Journal of Materials Chemistry A,J MATER CHEM A,12.732,2.171
272,Annual Review of Physical Chemistry,ANNU REV PHYS CHEM,12.703,5.375
273,CANCER RESEARCH,CANCER RES,12.701,3.633
274,LAB ANIMAL,LAB ANIMAL,12.625,1.568
275,BEHAVIORAL AND BRAIN SCIENCES,BEHAV BRAIN SCI,12.579,8.998
276,TRENDS IN FOOD SCIENCE & TECHNOLOGY,TRENDS FOOD SCI TECH,12.563,2.173
277,CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,CRIT REV ENV SCI TEC,12.561,2.151
278,IEEE SIGNAL PROCESSING MAGAZINE,IEEE SIGNAL PROC MAG,12.551,4.733
279,CLINICAL CANCER RESEARCH,CLIN CANCER RES,12.531,4.005
280,BIOMATERIALS,BIOMATERIALS,12.479,2.195
281,Annual Review of Neuroscience,ANNU REV NEUROSCI,12.449,8.778
282,EARTH-SCIENCE REVIEWS,EARTH-SCI REV,12.413,3.771
283,PHARMACOLOGY & THERAPEUTICS,PHARMACOL THERAPEUT,12.310,2.968
284,NEURO-ONCOLOGY,NEURO-ONCOLOGY,12.300,3.722
285,TRAC-TRENDS IN ANALYTICAL CHEMISTRY,TRAC-TREND ANAL CHEM,12.296,1.960
286,DEVELOPMENTAL CELL,DEV CELL,12.270,5.521
287,SURFACE SCIENCE REPORTS,SURF SCI REP,12.267,5.207
288,PROGRESS IN QUANTUM ELECTRONICS,PROG QUANT ELECTRON,12.250,2.710
289,npj Computational Materials,NPJ COMPUT MATER,12.241,4.000
290,Advances in Carbohydrate Chemistry and Biochemistry,ADV CARBOHYD CHEM BI,12.200,1.318
291,EMBO Molecular Medicine,EMBO MOL MED,12.137,4.116
292,CANCER TREATMENT REVIEWS,CANCER TREAT REV,12.111,2.985
293,OPHTHALMOLOGY,OPHTHALMOLOGY,12.079,3.478
294,JACC-Heart Failure,JACC-HEART FAIL,12.035,4.599
295,IEEE TRANSACTIONS ON FUZZY SYSTEMS,IEEE T FUZZY SYST,12.029,2.341
296,TRENDS IN ENDOCRINOLOGY AND METABOLISM,TRENDS ENDOCRIN MET,12.015,3.838
297,IEEE WIRELESS COMMUNICATIONS,IEEE WIREL COMMUN,11.979,2.828
298,TRENDS IN MOLECULAR MEDICINE,TRENDS MOL MED,11.951,3.978
299,Journal of the National Comprehensive Cancer Network,J NATL COMPR CANC NE,11.908,3.124
300,Annual Review of Nutrition,ANNU REV NUTR,11.848,4.418
301,Redox Biology,REDOX BIOL,11.799,2.333
302,Science Bulletin,SCI BULL,11.780,1.736
303,COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,COMPUT-AIDED CIV INF,11.775,1.810
304,Liver Cancer,LIVER CANCER,11.740,2.155
305,PROGRESS IN NEUROBIOLOGY,PROG NEUROBIOL,11.685,3.551
306,npj Digital Medicine,NPJ DIGIT MED,11.653,4.183
307,TRENDS IN GENETICS,TRENDS GENET,11.639,5.228
308,BRIEFINGS IN BIOINFORMATICS,BRIEF BIOINFORM,11.622,3.225
309,Acta Pharmaceutica Sinica B,ACTA PHARM SIN B,11.614,1.819
310,SLEEP MEDICINE REVIEWS,SLEEP MED REV,11.609,4.273
311,EMBO JOURNAL,EMBO J,11.598,5.393
312,Advances in Virus Research,ADV VIRUS RES,11.593,4.815
313,MATRIX BIOLOGY,MATRIX BIOL,11.583,2.602
314,Theranostics,THERANOSTICS,11.556,2.072
315,IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,IEEE T EVOLUT COMPUT,11.554,3.490
316,Cellular & Molecular Immunology,CELL MOL IMMUNOL,11.530,2.671
317,LEUKEMIA,LEUKEMIA,11.528,3.697
318,JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,J AM ACAD DERMATOL,11.527,2.775
319,Clinical and Translational Medicine,CLIN TRANSL MED,11.492,1.705
320,MOLECULAR THERAPY,MOL THER,11.454,3.093
321,IEEE Transactions on Cybernetics,IEEE T CYBERNETICS,11.448,3.291
322,Molecular Systems Biology,MOL SYST BIOL,11.429,6.157
323,Exposure and Health,EXPOS HEALTH,11.422,1.374
324,Clinical Gastroenterology and Hepatology,CLIN GASTROENTEROL H,11.382,3.594
325,GENES & DEVELOPMENT,GENE DEV,11.361,5.717
326,IEEE Computational Intelligence Magazine,IEEE COMPUT INTELL M,11.356,2.829
327,CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,CURR OPIN SOLID ST M,11.354,2.559
328,Earth System Science Data,EARTH SYST SCI DATA,11.333,4.525
329,Lancet Child & Adolescent Health,LANCET CHILD ADOLESC,11.288,4.514
330,PLANT CELL,PLANT CELL,11.277,3.922
331,WATER RESEARCH,WATER RES,11.236,1.850
332,AMERICAN JOURNAL OF BIOETHICS,AM J BIOETHICS,11.229,2.883
333,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,P NATL ACAD SCI USA,11.205,4.790
334,JACC-Cardiovascular Interventions,JACC-CARDIOVASC INTE,11.195,3.807
335,NANO LETTERS,NANO LETT,11.189,3.427
336,CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION,CRIT REV FOOD SCI,11.176,1.791
337,JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH,J EXP CLIN CANC RES,11.161,1.733
338,Cancer Immunology Research,CANCER IMMUNOL RES,11.151,3.975
339,SPORTS MEDICINE,SPORTS MED,11.140,3.235
340,SEMINARS IN IMMUNOLOGY,SEMIN IMMUNOL,11.130,3.185
341,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,FRONT ECOL ENVIRON,11.123,4.165
342,IEEE CONTROL SYSTEMS MAGAZINE,IEEE CONTR SYST MAG,11.119,4.113
343,Genome Medicine,GENOME MED,11.117,5.122
344,Annual Review of Environment and Resources,ANNU REV ENV RESOUR,11.108,5.084
345,npj 2D Materials and Applications,NPJ 2D MATER APPL,11.106,3.203
346,RADIOLOGY,RADIOLOGY,11.105,2.984
347,Optica,OPTICA,11.104,3.970
348,ACTA NUMERICA,ACTA NUMER,11.091,8.628
349,PLOS MEDICINE,PLOS MED,11.069,6.517
350,Annual Review of Chemical and Biomolecular Engineering,ANNU REV CHEM BIOMOL,11.059,2.932
351,MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,MICROBIOL MOL BIOL R,11.056,6.708
352,PERSOONIA,PERSOONIA,11.051,2.849
353,Blood Cancer Journal,BLOOD CANCER J,11.037,3.598
354,AMERICAN JOURNAL OF HUMAN GENETICS,AM J HUM GENET,11.025,5.727
354,Physics of Life Reviews,PHYS LIFE REV,11.025,4.369
356,JOURNAL OF STRATEGIC INFORMATION SYSTEMS,J STRATEGIC INF SYST,11.022,2.391
357,Additive Manufacturing,ADDIT MANUF,10.998,2.062
358,Arthritis & Rheumatology,ARTHRITIS RHEUMATOL,10.995,3.370
359,Nanoscale Horizons,NANOSCALE HORIZ,10.989,2.224
360,PROCEEDINGS OF THE IEEE,P IEEE,10.961,4.298
361,MASS SPECTROMETRY REVIEWS,MASS SPECTROM REV,10.946,2.391
362,NUCLEAR DATA SHEETS,NUCL DATA SHEETS,10.941,2.000
363,CEMENT AND CONCRETE RESEARCH,CEMENT CONCRETE RES,10.933,2.115
364,AGEING RESEARCH REVIEWS,AGEING RES REV,10.895,3.301
365,AMERICAN JOURNAL OF GASTROENTEROLOGY,AM J GASTROENTEROL,10.864,4.678
366,GLOBAL CHANGE BIOLOGY,GLOBAL CHANGE BIOL,10.863,3.413
367,IEEE TRANSACTIONS ON IMAGE PROCESSING,IEEE T IMAGE PROCESS,10.856,3.267
368,Cell Discovery,CELL DISCOV,10.849,2.870
369,CURRENT BIOLOGY,CURR BIOL,10.834,4.915
